area,rooms,floor,total_floors,year_built,building_age,district,metro_distance_km,has_parking,has_elevator,has_renovation,is_new_building,school_distance_km,park_distance_km,hospital_distance_km,price
103.0,3,8,13,1981,43,Запад,5.87,0,1,0,0,4.04,1.44,7.84,34477000
53.8,2,18,27,2013,11,Восток,12.41,0,1,1,1,0.65,5.68,9.41,10974000
92.1,3,16,17,1989,35,Запад,2.07,0,1,0,0,0.51,1.26,6.7,29275000
77.2,3,20,28,2019,5,Юг,5.39,1,1,1,1,0.32,6.3,5.16,13125000
139.1,5,19,24,2016,8,Север,3.55,1,1,0,1,2.73,2.04,2.66,36411000
61.0,2,10,16,2016,8,Пригород,52.25,1,1,0,1,3.56,5.93,6.79,5095000
58.0,2,17,21,2013,11,Запад,0.3,1,1,0,1,0.74,3.69,9.83,18957000
66.2,2,13,21,2018,6,Север,2.24,0,1,1,1,3.23,7.89,4.87,18144000
59.1,2,13,13,2014,10,Запад,1.32,0,1,1,1,2.44,4.68,1.79,20606000
91.8,3,7,11,2004,20,Пригород,53.66,1,1,0,0,4.94,5.1,1.21,7632000
34.9,1,10,19,1988,36,Пригород,36.04,1,1,1,0,3.62,3.01,2.84,2544000
43.8,1,2,7,2018,6,Север,4.14,1,1,0,1,3.32,5.9,5.78,11943000
43.5,1,4,10,2016,8,Юг,4.78,1,1,0,1,2.9,4.01,9.48,8088000
97.5,3,6,9,1998,26,Юг,28.58,0,1,0,0,4.99,0.24,3.13,17251000
132.2,4,24,24,1965,59,Восток,15.19,0,1,1,0,4.9,4.91,3.19,25774000
64.0,2,18,25,2006,18,Восток,9.8,1,1,0,0,2.74,6.66,4.92,12027000
62.3,2,23,30,1966,58,Запад,2.75,0,1,0,0,2.33,1.97,9.2,20947000
68.6,2,6,9,2020,4,Центр,0.54,0,1,1,1,2.36,1.85,4.31,31803000
106.1,4,23,25,2022,2,Пригород,56.46,1,1,1,1,2.2,4.91,2.39,9196000
46.0,2,17,23,1982,42,Пригород,34.04,0,1,1,0,2.7,6.56,1.8,4214000
73.4,2,14,15,2008,16,Восток,2.61,1,1,1,0,1.44,2.07,4.68,14267000
98.5,3,24,30,1972,52,Север,5.09,0,1,0,0,4.64,7.46,8.05,26290000
81.5,3,11,16,2011,13,Север,19.99,1,1,0,1,2.5,7.43,3.06,19509000
71.9,2,19,25,1991,33,Юг,3.92,1,1,0,0,4.23,1.68,5.22,12451000
99.5,3,2,6,2008,16,Пригород,40.32,0,1,0,0,2.43,2.18,6.11,8768000
22.6,1,3,11,1992,32,Пригород,51.13,0,1,0,0,3.62,5.63,4.61,2245000
87.5,3,11,15,1979,45,Юг,4.46,0,1,0,0,1.75,7.62,2.08,15062000
51.3,2,6,10,1994,30,Восток,2.13,0,1,1,0,3.16,5.71,9.23,10461000
32.1,1,14,16,1975,49,Центр,15.62,0,1,0,0,2.54,3.61,5.74,14019000
81.8,3,19,19,2003,21,Запад,25.09,0,1,1,0,1.9,1.44,7.35,26767000
115.5,4,16,17,1965,59,Пригород,52.96,0,1,0,0,4.42,3.74,6.43,10715000
63.1,2,21,28,2001,23,Восток,9.33,0,1,1,0,0.65,4.89,9.98,12278000
97.6,3,22,22,2018,6,Центр,1.05,0,1,0,1,2.49,2.71,4.67,43626000
127.1,4,24,30,2016,8,Запад,19.57,1,1,0,1,1.05,4.13,4.36,42327000
112.8,4,7,11,2018,6,Юг,2.58,0,1,1,1,4.32,1.13,3.73,17552000
128.5,4,8,10,2020,4,Центр,4.84,1,1,0,1,1.34,3.67,3.74,57012000
89.7,3,19,25,1973,51,Запад,20.03,1,1,0,0,3.2,0.82,2.9,30352000
68.7,2,20,28,1977,47,Восток,7.39,1,1,1,0,0.91,0.49,9.81,13371000
35.1,1,16,17,2002,22,Юг,13.0,1,1,1,0,2.08,6.87,8.73,6657000
60.4,2,22,29,2018,6,Юг,12.55,0,1,0,1,4.51,1.72,3.3,10307000
47.6,2,7,15,2022,2,Запад,1.72,1,1,1,1,0.91,4.64,3.19,14786000
158.9,5,9,11,1966,58,Юг,8.82,0,1,1,0,3.35,1.28,1.21,27585000
62.2,2,13,14,1991,33,Запад,0.79,1,1,1,0,1.1,2.17,8.79,19821000
70.1,2,1,7,1983,41,Север,5.67,1,1,1,0,2.14,2.95,3.84,18459000
83.1,3,8,12,2012,12,Юг,1.42,0,1,1,1,2.75,1.24,5.81,13752000
67.9,2,24,28,2006,18,Восток,4.31,0,1,1,0,2.93,0.46,9.02,13135000
131.4,4,22,30,1975,49,Юг,14.32,0,1,1,0,3.05,7.03,4.2,23450000
52.0,2,4,8,1999,25,Юг,34.85,1,1,1,0,3.24,0.19,8.11,8128000
72.1,2,3,6,2008,16,Восток,3.06,0,1,0,0,1.43,0.58,4.42,13951000
49.6,2,3,7,2013,11,Центр,2.28,0,1,0,1,2.07,6.46,7.07,21947000
39.3,1,22,25,1962,62,Север,5.73,0,1,1,0,0.28,2.33,4.43,10729000
52.2,2,13,18,2018,6,Север,24.7,0,1,0,1,3.87,5.81,4.05,13364000
65.7,2,8,11,2003,21,Запад,5.21,1,1,1,0,4.2,1.26,9.91,21006000
56.2,2,7,8,2014,10,Пригород,46.46,1,1,0,1,1.08,1.97,6.2,5199000
50.6,2,1,9,2014,10,Север,20.39,0,1,1,1,1.09,4.62,3.8,12704000
38.0,1,16,17,1982,42,Пригород,31.8,0,1,0,0,0.31,7.91,2.73,3213000
64.5,2,6,14,1974,50,Восток,18.59,0,1,0,0,4.85,0.68,0.59,13118000
36.5,1,7,16,2010,14,Юг,19.96,0,1,1,1,4.06,3.26,7.12,5312000
90.4,3,12,17,1980,44,Восток,21.35,1,1,1,0,1.87,0.44,3.85,17113000
68.9,2,23,30,2016,8,Восток,2.52,0,1,0,1,2.46,1.67,8.25,13233000
37.2,1,9,17,2010,14,Восток,4.09,0,1,1,1,1.53,7.27,3.77,7893000
58.9,2,11,13,2016,8,Запад,16.35,1,1,1,1,3.03,0.86,3.86,19760000
49.4,2,10,10,1988,36,Юг,3.56,1,1,1,0,3.61,6.87,7.84,8364000
75.8,3,21,21,1989,35,Север,7.34,0,1,1,0,2.29,1.5,5.0,19609000
114.0,4,1,3,2008,16,Центр,0.38,0,0,1,0,4.38,6.91,8.87,51437000
31.5,1,18,22,1964,60,Восток,0.46,0,1,1,0,2.63,4.35,5.98,6279000
69.8,2,4,6,2010,14,Запад,4.25,1,1,1,1,0.81,7.04,2.56,23164000
62.5,2,5,13,2016,8,Пригород,41.05,1,1,1,1,3.15,1.3,5.77,6491000
87.2,3,9,17,1995,29,Пригород,32.67,0,1,0,0,2.36,6.12,0.24,7626000
72.6,2,17,19,2012,12,Пригород,41.0,0,1,0,1,4.68,5.48,3.26,6644000
49.4,2,3,5,1981,43,Север,5.79,1,1,0,0,2.02,4.39,2.24,12846000
58.7,2,16,20,1989,35,Центр,3.47,1,1,0,0,2.07,6.5,6.61,27086000
48.5,2,5,6,2022,2,Пригород,44.23,1,1,0,1,3.29,5.22,1.53,4180000
102.6,3,16,21,2023,1,Север,4.42,0,1,0,1,2.68,7.03,3.04,26294000
67.3,2,3,9,2000,24,Пригород,34.12,0,1,0,0,1.93,3.11,3.45,5415000
142.7,5,20,28,2020,4,Пригород,21.34,0,1,1,1,4.95,4.76,0.23,13892000
65.1,2,15,20,2001,23,Пригород,38.1,0,1,0,0,1.58,6.98,0.66,5219000
50.2,2,3,5,1988,36,Север,7.08,0,1,1,0,1.46,1.8,3.25,13313000
36.4,1,20,24,1986,38,Север,5.18,0,1,0,0,4.34,3.94,2.38,10031000
32.4,1,14,17,2020,4,Пригород,29.66,0,1,1,1,0.12,7.69,1.35,3353000
35.4,1,16,20,1981,43,Север,10.23,1,1,0,0,1.09,3.84,1.71,9081000
74.2,2,17,24,2003,21,Запад,0.62,0,1,1,0,2.99,2.1,8.39,24197000
81.7,3,24,30,2002,22,Восток,19.67,1,1,1,0,0.9,2.87,6.9,16127000
35.4,1,20,25,2011,13,Пригород,15.93,0,1,1,1,4.93,7.09,4.94,3413000
95.4,3,23,23,1999,25,Юг,26.24,1,1,1,0,2.37,7.64,9.11,16080000
55.0,2,18,25,1986,38,Восток,4.96,0,1,1,0,3.03,7.61,0.49,10720000
70.7,2,18,25,1981,43,Центр,1.6,1,1,1,0,0.89,5.62,3.58,32766000
127.1,4,22,23,2005,19,Восток,2.37,0,1,1,0,1.52,4.13,8.27,25209000
95.5,3,14,17,2010,14,Пригород,15.45,0,1,1,1,3.11,1.54,6.36,8605000
59.9,2,18,19,2003,21,Запад,2.57,1,1,0,0,2.79,1.07,9.82,19190000
46.7,2,15,18,2011,13,Восток,0.93,0,1,1,1,3.94,0.57,9.46,9699000
28.2,1,15,24,1978,46,Пригород,44.69,0,1,1,0,1.42,0.24,1.87,2573000
50.0,2,6,12,2018,6,Юг,3.07,1,1,0,1,3.3,7.04,9.73,8506000
61.3,2,15,23,2003,21,Юг,11.66,1,1,0,0,1.53,6.49,9.47,9434000
44.9,1,18,25,1976,48,Юг,1.85,0,1,1,0,2.98,4.59,3.86,7971000
63.3,2,4,12,1997,27,Север,18.44,0,1,1,0,3.06,7.99,9.83,15698000
68.8,2,23,30,2016,8,Север,5.92,0,1,0,1,0.7,7.63,0.55,18198000
61.0,2,8,9,2019,5,Юг,0.97,0,1,1,1,2.79,5.28,6.68,9982000
51.4,2,15,21,1986,38,Юг,4.1,1,1,1,0,0.16,3.77,2.81,8282000
71.3,2,3,4,2010,14,Пригород,24.3,0,0,0,1,2.56,1.3,1.47,6905000
79.6,3,15,16,1973,51,Пригород,23.99,0,1,1,0,3.52,4.17,5.86,7250000
43.1,1,13,16,1964,60,Восток,5.65,1,1,0,0,0.46,1.35,3.2,8543000
117.3,4,9,9,2002,22,Восток,8.92,0,1,1,0,4.7,3.25,6.73,25250000
64.1,2,2,6,2009,15,Юг,19.41,1,1,0,0,2.35,7.55,5.49,11923000
67.2,2,24,29,2014,10,Восток,5.58,0,1,0,1,4.7,2.8,4.05,13149000
88.5,3,8,16,1990,34,Юг,27.01,0,1,1,0,0.63,1.31,1.98,14042000
73.2,2,20,29,1960,64,Юг,22.73,0,1,0,0,4.75,4.7,6.09,13250000
97.6,3,17,24,1998,26,Пригород,53.93,0,1,0,0,0.64,4.86,8.33,7965000
74.8,2,13,14,1962,62,Север,5.54,0,1,1,0,2.36,1.63,6.08,19781000
52.2,2,1,1,1972,52,Север,1.21,0,0,0,0,4.7,1.65,6.18,13377000
77.1,3,2,3,1990,34,Центр,0.74,0,0,1,0,1.24,7.92,5.22,34742000
42.2,1,15,21,1996,28,Восток,8.35,0,1,0,0,0.27,2.02,4.0,8804000
69.6,2,12,15,1987,37,Центр,1.64,0,1,1,0,3.99,6.72,4.68,30602000
65.8,2,14,23,2003,21,Восток,1.27,0,1,1,0,3.02,3.82,9.9,12655000
61.4,2,2,6,1967,57,Восток,5.22,0,1,1,0,2.62,3.54,7.55,12548000
63.3,2,18,24,1979,45,Север,0.3,1,1,1,0,0.27,2.43,4.42,17606000
31.4,1,22,24,2009,15,Восток,10.59,0,1,1,0,3.3,6.21,4.68,6890000
53.5,2,7,16,1978,46,Центр,0.3,0,1,0,0,0.94,7.06,5.1,23068000
69.2,2,23,24,2006,18,Центр,2.98,1,1,0,0,4.66,2.16,6.66,30766000
71.1,2,6,12,1967,57,Юг,12.6,0,1,1,0,3.46,0.85,4.77,11434000
44.2,1,14,18,1994,30,Север,1.14,1,1,1,0,3.56,1.18,6.92,11875000
